region,pos_sig_diff,neg_sig_diff,pos_trend,neg_trend,pos_diff_m2,neg_diff_m2,pos_pixels,neg_pixels,total_pixels,neg_area,pos_area,total_area,pos_diff_km2,neg_diff_km2,pos_diff_hct,neg_diff_hct,net_diff_hct,percent_positive,percent_negative,country
Mopti,0.005679374483385457,0.0013974492961967527,0.00031286733564647864,7.527125267825895e-05,28069.1997420463,6906.871199696,10026775,3433212,286678083,0.073814058,0.21557566250000001,135474759.93922,280.691997420463,69.06871199696,28.069199742046298,6.906871199696,21.1623285423503,9.229312109952862e-06,3.160157187892965e-06,Mali
Tombouctou,3.948514968783813e-08,0.0,1.984084625984508e-09,0.0,0.19512491,0.0,29,0,4941729,0.0,6.235e-07,2335771.72309,0.0019512491000000002,0.0,0.00019512491000000002,0.0,0.00019512491000000002,2.6693533183763777e-11,0.0,Mali
Sikasso,0.0009445899188133,0.0015927904390601,4.966461840973905e-05,8.226413901220788e-05,4670.1059399999995,7875.085999999999,1391244,2042479,19775809,0.0439132985,0.029911746,9343086.89236,46.7010594,78.75085999999999,4.67010594,7.875086,-3.2049800599999996,1.2805937200245603e-06,1.8800338263324362e-06,Mali
Segou,0.009652392200010452,0.011284355232996134,0.0005217144703201475,0.0005870778057573028,47708.15477454,55771.755906,14727004,19426285,296561541,0.4176651275,0.316630586,140146303.3854,477.0815477454,557.71755906,47.70815477454,55.771755906,-8.06360113146,1.3555716205911097e-05,1.788124769947422e-05,Mali
Koulikouro,0.007508004925678444,0.013381735483881529,0.00039087512242948826,0.0006983645726696354,37109.772763,66141.073322,10183474,18862478,261958322,0.405543277,0.218944691,123795901.32377,371.09772763,661.41073322,37.109772763,66.141073322,-29.031300558999998,9.373548315344676e-06,1.736228215244876e-05,Mali
Kayes,0.0031874284650244035,0.0061861404601791774,0.00015069029525366013,0.00034273924021149766,15755.32072586,30576.828006789,3548803,8375140,380588718,0.18006550999999998,0.0762992645,179854422.67793,157.5532072586,305.76828006789,15.75532072586,30.576828006789,-14.821507280929001,3.266554849763463e-06,7.709037155471286e-06,Mali
Upper East,0.00026990803236612846,0.0002816743184411213,1.4010286227678567e-05,1.573889082687313e-05,1334.4059650000002,1392.3708,373635,494493,9885681,0.0106315995,0.008033152500000001,4671543.44618,13.344059650000002,13.923708,1.334405965,1.3923708000000001,-0.05796483500000005,3.4391856107295097e-07,4.5516432084961725e-07,Ghana
Upper West,0.0003716467781851178,0.0004361117677920312,1.4449400561360155e-05,2.807931593721275e-05,1836.577686,2155.14612,361541,554247,39533832,0.0119163105,0.0077731315,18686173.78472,18.36577686,21.5514612,1.836577686,2.15514612,-0.3185684340000001,3.3278643726865995e-07,5.101658857414317e-07,Ghana
Northern East,0.001919642004700829,0.0025295251163875107,8.058381131704562e-05,0.00014061842158500168,9486.663919999999,12501.426483,2359681,3103336,98841249,0.066721724,0.0507331415,46715434.4618,94.8666392,125.01426483,9.48666392,12.501426483,-3.0147625630000006,2.1720076922964442e-06,2.856517327460991e-06,Ghana
Northern,3.1062768553210326e-05,2.85272622240996e-05,1.244659355805147e-06,1.4953403754730272e-06,153.50378,140.974,28050,34218,4941729,0.000735687,0.000603075,2335771.72309,1.5350378,1.40974,0.15350378,0.140974,0.012529780000000018,2.581908985533013e-08,3.1496528223518226e-08,Ghana
