geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((9.582029697274896 14.373044545912343, 9.881468125314736 14.373044545912343, 9.881468125314736 14.672482973952183, 9.582029697274896 14.672482973952183, 9.582029697274896 14.373044545912343))",10_16_2,NER,Zinder,1.5248979303030882e-05,4.341230392805356e-06,7.895497283265537e-07,2.0351133103669965e-07
"POLYGON ((9.582029697274896 14.672482973952183, 9.881468125314736 14.672482973952183, 9.881468125314736 14.971921401992024, 9.582029697274896 14.971921401992024, 9.582029697274896 14.672482973952183))",10_16_5,NER,Zinder,1.258905721482266e-07,4.65407657678151e-08,6.46104376823012e-09,2.289519413372113e-09
"POLYGON ((9.582029697274896 14.971921401992024, 9.881468125314736 14.971921401992024, 9.881468125314736 15.271359830031864, 9.582029697274896 15.271359830031864, 9.582029697274896 14.971921401992024))",10_16_8,NER,Zinder,1.250897947526074e-06,1.3705594949324556e-07,5.579874222197381e-08,5.487168432851364e-09
"POLYGON ((9.881468125314736 14.373044545912343, 10.180906553354577 14.373044545912343, 10.180906553354577 14.672482973952183, 9.881468125314736 14.672482973952183, 9.881468125314736 14.373044545912343))",11_16_0,NER,Zinder,2.7890313337550038e-05,3.7438231429449702e-06,1.509183692202611e-06,1.6901127907822326e-07
"POLYGON ((9.881468125314736 14.672482973952183, 10.180906553354577 14.672482973952183, 10.180906553354577 14.971921401992024, 9.881468125314736 14.971921401992024, 9.881468125314736 14.672482973952183))",11_16_3,NER,Zinder,2.2375154683969843e-07,4.5997907186446304e-09,1.1675449682742969e-08,2.246211645504345e-10
"POLYGON ((9.881468125314736 14.971921401992024, 10.180906553354577 14.971921401992024, 10.180906553354577 15.271359830031864, 9.881468125314736 15.271359830031864, 9.881468125314736 14.971921401992024))",11_16_6,NER,Zinder,7.950690206695049e-07,2.9516578384941045e-09,3.80133697562742e-08,1.6525804380111847e-10
"POLYGON ((10.180906553354577 14.373044545912343, 10.480344981394417 14.373044545912343, 10.480344981394417 14.672482973952183, 10.180906553354577 14.672482973952183, 10.180906553354577 14.373044545912343))",11_16_1,NER,Zinder,5.878468256374534e-06,2.382662279327536e-06,3.1010977164648665e-07,1.1103352507349996e-07
"POLYGON ((10.180906553354577 14.672482973952183, 10.480344981394417 14.672482973952183, 10.480344981394417 14.971921401992024, 10.180906553354577 14.971921401992024, 10.180906553354577 14.672482973952183))",11_16_4,NER,Zinder,4.212109691969853e-07,4.217207602314305e-08,2.2944380649854922e-08,1.9800243917461e-09
"POLYGON ((10.180906553354577 14.971921401992024, 10.480344981394417 14.971921401992024, 10.480344981394417 15.271359830031864, 10.180906553354577 15.271359830031864, 10.180906553354577 14.971921401992024))",11_16_7,NER,Zinder,2.846481947312098e-07,2.1956071951540378e-07,1.2515499799406222e-08,1.159475383759367e-08
"POLYGON ((10.480344981394417 14.373044545912343, 10.779783409434257 14.373044545912343, 10.779783409434257 14.672482973952183, 10.480344981394417 14.672482973952183, 10.480344981394417 14.373044545912343))",11_16_2,NER,Zinder,1.6193447368983985e-07,2.589552059528663e-06,8.0328983181913e-09,1.089032236425171e-07
"POLYGON ((10.480344981394417 14.672482973952183, 10.779783409434257 14.672482973952183, 10.779783409434257 14.971921401992024, 10.480344981394417 14.971921401992024, 10.480344981394417 14.672482973952183))",11_16_5,NER,Zinder,2.5806100789702284e-07,7.510848301585997e-08,1.5359118650695174e-08,2.9217415615492504e-09
"POLYGON ((10.480344981394417 14.971921401992024, 10.779783409434257 14.971921401992024, 10.779783409434257 15.271359830031864, 10.480344981394417 15.271359830031864, 10.480344981394417 14.971921401992024))",11_16_8,NER,Zinder,4.33437338405935e-07,3.2394483831277756e-07,2.2199183465768043e-08,1.3809010819465643e-08
"POLYGON ((10.779783409434257 14.373044545912343, 11.079221837474098 14.373044545912343, 11.079221837474098 14.672482973952183, 10.779783409434257 14.672482973952183, 10.779783409434257 14.373044545912343))",12_16_0,NER,Zinder,4.5176129855975734e-07,9.821545336926005e-08,2.608616757832766e-08,3.661981976912408e-09
"POLYGON ((10.779783409434257 14.672482973952183, 11.079221837474098 14.672482973952183, 11.079221837474098 14.971921401992024, 10.779783409434257 14.971921401992024, 10.779783409434257 14.672482973952183))",12_16_3,NER,Zinder,7.147927994646892e-07,1.2948342222174925e-07,3.694810283568284e-08,6.7103806068761844e-09
"POLYGON ((10.779783409434257 14.971921401992024, 11.079221837474098 14.971921401992024, 11.079221837474098 15.271359830031864, 10.779783409434257 15.271359830031864, 10.779783409434257 14.971921401992024))",12_16_6,NER,Zinder,5.246713627454042e-07,1.4687517940609003e-07,2.5792569053695162e-08,6.160046959230085e-09
"POLYGON ((11.079221837474098 14.373044545912343, 11.378660265513938 14.373044545912343, 11.378660265513938 14.672482973952183, 11.079221837474098 14.672482973952183, 11.079221837474098 14.373044545912343))",12_16_1,NER,Zinder,1.1867967890876272e-06,1.8930063319916482e-07,6.579042523589661e-08,7.336594182420012e-09
"POLYGON ((11.079221837474098 14.672482973952183, 11.378660265513938 14.672482973952183, 11.378660265513938 14.971921401992024, 11.079221837474098 14.971921401992024, 11.079221837474098 14.672482973952183))",12_16_4,NER,Zinder,6.024741670301632e-07,5.337880202540962e-07,3.023075301547258e-08,2.045449721987851e-08
"POLYGON ((18.86462096650995 14.373044545912343, 19.164059394549792 14.373044545912343, 19.164059394549792 14.672482973952183, 18.86462096650995 14.672482973952183, 18.86462096650995 14.373044545912343))",21_16_0,TCD,Batha,7.3532391123772944e-09,4.568023343812107e-08,6.073149141854667e-10,1.94066809589635e-09
"POLYGON ((19.164059394549792 14.373044545912343, 19.46349782258963 14.373044545912343, 19.46349782258963 14.672482973952183, 19.164059394549792 14.672482973952183, 19.164059394549792 14.373044545912343))",21_16_1,TCD,Batha,1.0984448922447154e-08,1.1548888491205996e-07,6.841648053873869e-10,5.512422944033336e-09
"POLYGON ((19.164059394549792 14.672482973952183, 19.46349782258963 14.672482973952183, 19.46349782258963 14.971921401992024, 19.164059394549792 14.971921401992024, 19.164059394549792 14.672482973952183))",21_16_4,TCD,Batha,4.623239855411566e-08,1.0033134114814538e-06,3.0217333099539816e-09,4.50908904079141e-08
"POLYGON ((19.46349782258963 14.373044545912343, 19.762936250629473 14.373044545912343, 19.762936250629473 14.672482973952183, 19.46349782258963 14.672482973952183, 19.46349782258963 14.373044545912343))",21_16_2,TCD,Batha,7.181822422124116e-08,2.3868652825151517e-08,6.319533782414302e-09,1.2895217744738822e-09
"POLYGON ((19.46349782258963 14.672482973952183, 19.762936250629473 14.672482973952183, 19.762936250629473 14.971921401992024, 19.46349782258963 14.971921401992024, 19.46349782258963 14.672482973952183))",21_16_5,TCD,Batha,4.473237595978698e-08,3.71411118448297e-07,2.069440138744135e-09,1.7160390854798484e-08
"POLYGON ((19.46349782258963 14.971921401992024, 19.762936250629473 14.971921401992024, 19.762936250629473 15.271359830031864, 19.46349782258963 15.271359830031864, 19.46349782258963 14.971921401992024))",21_16_8,TCD,Batha,3.83900532930478e-08,3.5006345316346013e-07,2.056360879487206e-09,2.1073971023047205e-08
"POLYGON ((19.762936250629473 14.373044545912343, 20.06237467866931 14.373044545912343, 20.06237467866931 14.672482973952183, 19.762936250629473 14.672482973952183, 19.762936250629473 14.373044545912343))",22_16_0,TCD,Batha,1.5187449848532582e-08,1.4312686229619314e-07,8.665734484866498e-10,6.417845905889459e-09
"POLYGON ((19.762936250629473 14.672482973952183, 20.06237467866931 14.672482973952183, 20.06237467866931 14.971921401992024, 19.762936250629473 14.971921401992024, 19.762936250629473 14.672482973952183))",22_16_3,TCD,Batha,6.870473121214594e-08,1.302679681858045e-06,3.6777822137003964e-09,5.9160535225056995e-08
"POLYGON ((19.762936250629473 14.971921401992024, 20.06237467866931 14.971921401992024, 20.06237467866931 15.271359830031864, 19.762936250629473 15.271359830031864, 19.762936250629473 14.971921401992024))",22_16_6,TCD,Batha,7.209741408243042e-07,6.661782818445037e-07,4.2240562274202876e-08,2.9531611155148958e-08
"POLYGON ((20.06237467866931 14.373044545912343, 20.361813106709153 14.373044545912343, 20.361813106709153 14.672482973952183, 20.06237467866931 14.672482973952183, 20.06237467866931 14.373044545912343))",22_16_1,TCD,Ouaddai,2.0974383708207317e-08,8.208905761827401e-08,1.1807608351764803e-09,3.547541213743632e-09
"POLYGON ((20.06237467866931 14.672482973952183, 20.361813106709153 14.672482973952183, 20.361813106709153 14.971921401992024, 20.06237467866931 14.971921401992024, 20.06237467866931 14.672482973952183))",22_16_4,TCD,Wadi Fira,3.942050494125995e-08,3.516329826929697e-07,1.7419211545070355e-09,1.7553706987026402e-08
